year_id,location_name,rei_id,rei_name,age_group_name,sex,parameter,mean,upper,lower,unit
2017,China,147,Diet low in calcium,All Available Ages,Female,continuous,0.345679147,0.362890427,0.328155168,g/day
2017,China,333,Diet low in legumes,All Available Ages,Male,continuous,24.00835863,26.95270585,21.10045875,g/day
2017,China,333,Diet low in legumes,All Available Ages,Female,continuous,20.07841926,22.6959526,17.56148019,g/day
2017,North Korea,111,Diet low in fruits,All Available Ages,Male,continuous,60.79822045,65.75063595,56.26008738,g/day
2017,North Korea,111,Diet low in fruits,All Available Ages,Female,continuous,70.30561381,75.3020632,65.4146386,g/day
2017,North Korea,112,Diet low in vegetables,All Available Ages,Male,continuous,236.8698606,255.6449114,219.2916274,g/day
2017,North Korea,112,Diet low in vegetables,All Available Ages,Female,continuous,217.8381806,234.4127789,201.8264311,g/day
2017,North Korea,113,Diet low in whole grains,All Available Ages,Male,continuous,39.69391561,42.00614893,37.41627454,g/day
2017,North Korea,113,Diet low in whole grains,All Available Ages,Female,continuous,37.22790564,39.39953101,35.16463976,g/day
2017,North Korea,114,Diet low in nuts and seeds,All Available Ages,Male,continuous,0.482821299,0.570212117,0.404954982,g/day
2017,North Korea,114,Diet low in nuts and seeds,All Available Ages,Female,continuous,0.456461016,0.533659656,0.38965203,g/day
2017,North Korea,115,Diet low in milk,All Available Ages,Male,continuous,3.428342902,3.712167334,3.166885694,g/day
2017,North Korea,115,Diet low in milk,All Available Ages,Female,continuous,3.271026865,3.495714865,3.059727725,g/day
2017,North Korea,116,Diet high in red meat,All Available Ages,Male,continuous,6.826723937,7.617104734,6.099362813,g/day
2017,North Korea,116,Diet high in red meat,All Available Ages,Female,continuous,4.521617779,5.10695029,3.979006357,g/day
2017,North Korea,117,Diet high in processed meat,All Available Ages,Male,continuous,0.566522948,0.659629618,0.481820147,g/day
2017,North Korea,117,Diet high in processed meat,All Available Ages,Female,continuous,0.413402042,0.473027309,0.357346684,g/day
2017,North Korea,118,Diet high in sugar-sweetened beverages,All Available Ages,Male,continuous,56.27234068,62.16345496,50.79505516,g/day
