year_id,location_name,rei_id,food,age_group_name,sex,parameter,mean,upper,lower,unit,direction,lower_optimal,optimal,upper_optimal,unit_optimal,Relative_Percent,range_percent,percent_over_under,opt_achieved
2017,Global,117,processed meat,All available ages,Male,continuous,4.28656287076309,4.46331166508019,4.13095309164337,g/day,high,0,2,4,g,214.3281435381545,107.16407176907725,7.1640717690772515,No
2017,Global,117,processed meat,All available ages,Female,continuous,3.26409895113682,3.37653603086907,3.15472991222156,g/day,high,0,2,4,g,163.204947556841,81.6024737784205,0,Yes
2017,China,117,processed meat,All available ages,Male,continuous,2.3176974661356,2.69449782842665,1.99337436941585,g/day,high,0,2,4,g,115.88487330678,57.94243665339,0,Yes
2017,China,117,processed meat,All available ages,Female,continuous,1.75128699034999,2.04541341573007,1.5161724272748,g/day,high,0,2,4,g,87.5643495174995,43.78217475874975,0,Yes
2017,North Korea,117,processed meat,All available ages,Male,continuous,0.566522947954624,0.659629617653206,0.481820146616152,g/day,high,0,2,4,g,28.326147397731198,14.163073698865599,0,Yes
2017,North Korea,117,processed meat,All available ages,Female,continuous,0.413402042044879,0.473027309095083,0.357346683622951,g/day,high,0,2,4,g,20.670102102243952,10.335051051121976,0,Yes
2017,Taiwan (Province of China),117,processed meat,All available ages,Male,continuous,2.38585689142815,2.78303289382805,2.05721234024001,g/day,high,0,2,4,g,119.2928445714075,59.64642228570375,0,Yes
2017,Taiwan (Province of China),117,processed meat,All available ages,Female,continuous,1.81870723292189,2.10874110633369,1.57058027745788,g/day,high,0,2,4,g,90.9353616460945,45.46768082304725,0,Yes
2017,Cambodia,117,processed meat,All available ages,Male,continuous,0.470830419955838,0.554162921309198,0.396463850645756,g/day,high,0,2,4,g,23.541520997791903,11.770760498895951,0,Yes
2017,Cambodia,117,processed meat,All available ages,Female,continuous,0.35349536165467,0.413215046339001,0.30175777319861,g/day,high,0,2,4,g,17.6747680827335,8.83738404136675,0,Yes
2017,Indonesia,117,processed meat,All available ages,Male,continuous,0.416976530997969,0.495355469030836,0.35695862247433,g/day,high,0,2,4,g,20.84882654989845,10.424413274949226,0,Yes
2017,Indonesia,117,processed meat,All available ages,Female,continuous,0.318735253336555,0.373055736936638,0.273081147620325,g/day,high,0,2,4,g,15.93676266682775,7.968381333413875,0,Yes
2017,Laos,117,processed meat,All available ages,Male,continuous,0.611928241076335,0.730735172888199,0.51096225056826,g/day,high,0,2,4,g,30.596412053816753,15.298206026908376,0,Yes
2017,Laos,117,processed meat,All available ages,Female,continuous,0.465737894428786,0.546782368384174,0.394357116230254,g/day,high,0,2,4,g,23.2868947214393,11.64344736071965,0,Yes
2017,Malaysia,117,processed meat,All available ages,Male,continuous,2.00905109955308,2.35571257312236,1.70864374465218,g/day,high,0,2,4,g,100.45255497765399,50.226277488826994,0,Yes
2017,Malaysia,117,processed meat,All available ages,Female,continuous,1.52857285692379,1.75767002909345,1.31329961461229,g/day,high,0,2,4,g,76.4286428461895,38.21432142309475,0,Yes
2017,Maldives,117,processed meat,All available ages,Male,continuous,0.960567050044506,1.15268174897216,0.800288743574214,g/day,high,0,2,4,g,48.0283525022253,24.01417625111265,0,Yes
2017,Maldives,117,processed meat,All available ages,Female,continuous,0.733581966211723,0.860873180467283,0.61746837294558,g/day,high,0,2,4,g,36.67909831058615,18.339549155293074,0,Yes
2017,Myanmar,117,processed meat,All available ages,Male,continuous,0.583945996041354,0.68205105494893,0.492650827734362,g/day,high,0,2,4,g,29.1972998020677,14.59864990103385,0,Yes
2017,Myanmar,117,processed meat,All available ages,Female,continuous,0.436945835771915,0.505799295720586,0.378853814665475,g/day,high,0,2,4,g,21.84729178859575,10.923645894297875,0,Yes
2017,Philippines,117,processed meat,All available ages,Male,continuous,2.32473766696418,2.72198735316017,1.98608301965858,g/day,high,0,2,4,g,116.236883348209,58.1184416741045,0,Yes
2017,Philippines,117,processed meat,All available ages,Female,continuous,1.77053383128712,2.0612083857482,1.50270144702372,g/day,high,0,2,4,g,88.526691564356,44.263345782178,0,Yes
2017,Sri Lanka,117,processed meat,All available ages,Male,continuous,0.813950862526827,0.945284048607231,0.691482699151517,g/day,high,0,2,4,g,40.69754312634135,20.348771563170676,0,Yes
2017,Sri Lanka,117,processed meat,All available ages,Female,continuous,0.620539677632053,0.721995949216207,0.535212595719985,g/day,high,0,2,4,g,31.02698388160265,15.513491940801325,0,Yes
2017,Thailand,117,processed meat,All available ages,Male,continuous,0.621079355096319,0.721176371704543,0.534214054391519,g/day,high,0,2,4,g,31.053967754815947,15.526983877407973,0,Yes
2017,Thailand,117,processed meat,All available ages,Female,continuous,0.471595049138775,0.542275698355261,0.409188396408233,g/day,high,0,2,4,g,23.57975245693875,11.789876228469375,0,Yes
2017,Timor-Leste,117,processed meat,All available ages,Male,continuous,0.483754800557123,0.572185047751012,0.411418126959362,g/day,high,0,2,4,g,24.18774002785615,12.093870013928075,0,Yes
2017,Timor-Leste,117,processed meat,All available ages,Female,continuous,0.366078394765125,0.427177681791053,0.312195709000403,g/day,high,0,2,4,g,18.30391973825625,9.151959869128126,0,Yes
2017,Vietnam,117,processed meat,All available ages,Male,continuous,0.316094565871589,0.376352793192659,0.265897770506975,g/day,high,0,2,4,g,15.804728293579451,7.902364146789726,0,Yes
2017,Vietnam,117,processed meat,All available ages,Female,continuous,0.239127258459823,0.277883605261494,0.209151812555329,g/day,high,0,2,4,g,11.95636292299115,5.978181461495575,0,Yes
